Number,Team,MP,xG,xGA,xGD,GF,GA,xG vs Actual
1,Chelsea FC Women,15,2.26,1.15,1.11,3,0.87,0.74
2,Manchester City Women,15,2,0.91,1.09,2.53,0.6,0.53
3,Arsenal FC Women,15,1.87,0.91,0.96,2.2,0.93,0.33
4,Manchester United WFC,15,1.77,1.24,0.53,2.13,1.27,0.36
5,Aston Villa LFC,15,1.55,1.62,-0.07,1.27,2.07,-0.28
6,Tottenham Hotspur WFC,15,1.49,1.54,-0.05,1.4,1.93,-0.09
7,Leicester City WFC,15,1.33,1.76,-0.43,1.4,2,0.07
8,Liverpool FC Women,15,1.25,1.29,-0.04,1.47,1.33,0.22
9,West Ham United Women FC,15,1.07,1.57,-0.5,1.07,2,0
10,Brighton & Hove Albion Women & Girls FC,15,1.06,1.74,-0.68,1.33,2.2,0.27
11,Everton FC Women,15,0.81,1.74,-0.93,0.87,1.8,0.06
12,Bristol City Women FC,15,0.76,2.02,-1.26,1.33,3,0.57
